Logits_1,Logits_0
-4.8339696,5.4463735
-2.8054452,2.4000535
-2.3506505,2.0166829
2.5935888,-1.7202922
-3.6637518,4.2238646
2.2194195,-0.9500239
-3.982432,4.6519794
3.4230852,-3.490737
2.6673307,-1.9660376
3.2018712,-3.1302752
3.63864,-4.258703
2.5384269,-1.5773691
2.7124856,-2.1440778
-2.8234444,2.440148
3.636995,-4.028792
3.5458407,-3.7125835
-4.839424,5.4500413
3.6082141,-4.474471
3.4232683,-3.4899383
-4.833857,5.447031
-2.1425376,1.8863263
-4.833812,5.4457498
3.2513256,-3.2085958
-4.838746,5.450287
3.6433132,-4.077304
-4.8320274,5.445158
2.4006658,-1.3373686
-1.5078379,1.2271744
-4.8377967,5.4498043
-1.8521416,1.669916
2.6060991,-1.753431
-3.713893,4.316702
-3.542831,3.916765
3.637404,-4.0346413
2.557606,-1.627321
2.6070702,-1.7591238
3.234543,-3.1784058
-3.7756312,4.4091773
-3.7743976,4.406769
2.2290304,-0.99812466
3.6426852,-4.0974326
-4.8351727,5.4480977
-4.838996,5.4497437
-4.8269563,5.4396424
-4.8269563,5.4396424
-4.8386755,5.4503293
-2.8362105,2.4503558
3.0018613,-2.8162909
3.5073633,-3.6393855
-4.8382387,5.449795
2.8712525,-2.577826
2.5797749,-1.6814986
-3.6265686,4.13902
-3.1982992,3.028791
-3.6424026,4.1846886
3.295321,-3.2796583
2.0448527,-0.5604242
3.3712204,-3.4056048
-2.7639778,2.3742108
2.7680938,-2.327701
3.5879638,-3.8130713
3.0328665,-2.8621602
3.0328665,-2.8621602
-3.1923938,3.0090165
1.8969542,-0.20197201
2.7841694,-2.374008
2.3509564,-1.2538971
3.639228,-4.028463
-4.8359733,5.4483776
-4.839307,5.449854
3.314506,-3.3117602
-3.5710826,3.973254
3.6065083,-3.870273
2.569591,-1.6516254
3.6328256,-3.9837246
3.3943686,-3.442939
2.691477,-2.0556223
-3.872143,4.5301237
3.319545,-3.3186872
2.7457433,-2.2708569
-1.8982433,1.7074432
3.3389263,-3.3489745
-3.688692,4.2730455
-4.8381333,5.450018
-4.837523,5.4493856
2.0171008,-0.7713273
2.5094392,-1.5392042
2.5094392,-1.5392042
-2.7134576,2.3074834
-3.3960948,3.5160787
3.6326818,-4.3158636
2.6367807,-1.8481925
2.725288,-2.190966
2.5013351,-1.5172752
-3.8955936,4.556999
2.3866987,-1.3064693
-4.837345,5.4495206
-2.7797036,2.3736534
2.6137679,-1.7781901
3.5329053,-3.6859827
-4.805566,5.4163785
-2.2567651,1.9651239
-3.4034333,3.5276046
-2.6507282,2.250396
-2.5903585,2.1866784
-4.6269093,5.257553
-4.8387117,5.450559
-4.8387117,5.450559
-3.681712,4.2608414
3.15635,-3.0561533
2.6715236,-1.9921169
2.6715236,-1.9921169
-4.834494,5.4469748
3.6380937,-4.2701244
-2.7933066,2.3895373
-2.268559,1.9620534
-3.6076944,4.090477
2.8034418,-2.4290478
-4.8379993,5.4495096
-3.482548,3.685663
-3.4603384,3.6800146
3.5315223,-3.6811905
2.336203,-1.1157415
-4.8374,5.4497375
2.8558357,-2.5484672
-3.5574374,3.9369352
3.6441717,-4.1329327
-3.671336,4.245298
3.6206167,-3.9293842
-3.7608807,4.3896775
-4.817429,5.4290977
-3.538074,3.890807
-4.833973,5.4469023
2.5372972,-1.585024
-4.83381,5.446536
-4.83381,5.446536
3.64125,-4.0843825
3.64125,-4.0843825
3.64125,-4.0843825
3.64125,-4.0843825
3.64125,-4.0843825
2.4256458,-1.3656894
1.3152752,0.53081334
3.3413045,-3.3564665
-3.627379,4.1571126
2.681637,-2.01926
3.3745086,-3.413302
-0.8190377,1.4023188
3.3036952,-3.2936583
2.6568134,-1.9272034
-2.2672582,1.985311
-1.8528798,1.6292175
-3.5156727,3.8469787
-2.1223667,1.8739036
3.6189706,-3.919333
-2.1612802,1.9147438
-1.7631909,1.49464
-2.6764836,2.2646437
3.1023612,-2.9725287
2.7234619,-2.1834466
3.6071737,-3.876355
-3.7655106,4.397919
-4.044831,4.718833
3.2871623,-3.2699862
3.6302786,-4.3301716
3.6302786,-4.3301716
3.6280913,-3.9508994
2.1919234,-0.9744057
3.4390652,-3.5197916
3.567272,-3.765555
-4.8394394,5.4500346
-4.8372107,5.448711
-3.5456457,3.9114063
3.1755345,-3.087552
3.597058,-3.8420424
-4.8379564,5.4496655
2.5710106,-1.6609648
-3.3898623,3.477953
-3.3095617,3.2580476
3.637652,-4.285198
-4.837246,5.4491653
3.6446068,-4.109935
-2.2553802,1.9745129
3.5275002,-3.6747596
-2.683116,2.2766166
-3.7372682,4.352016
2.8873413,-2.6164973
-2.8317754,2.45062
3.0225427,-2.8504043
-4.831819,5.4446187
3.4251723,-3.4953387
-3.7453759,4.3656607
3.5196257,-3.662175
-4.827101,5.4400535
3.6072001,-3.8689718
-2.8247445,2.4446578
3.2312293,-3.1743395
3.5719714,-3.7744083
-3.1528962,2.937403
-1.89651,1.7123317
-4.839309,5.450472
-4.040905,4.7142363
3.576022,-3.7810082
3.5146873,-3.6525207
-2.999946,2.6864612
2.0630686,-0.862224
-4.839724,5.450551
-1.9282118,1.725036
3.6218026,-3.9304523
-4.8384495,5.450231
-4.834383,5.4465423
3.0136545,-2.8361025
-3.194588,3.0274491
-3.194588,3.0274491
1.6625987,0.051062632
3.6407058,-4.052911
-0.15024571,1.544829
3.4037883,-3.4585302
3.4938836,-3.612317
2.6499114,-1.9083494
-4.4956694,5.15328
2.5936666,-1.7145227
-4.836184,5.448878
-2.8215048,2.418572
3.4189641,-3.4841166
-3.7481198,4.370124
-4.836481,5.4491916
2.6309304,-1.8277144
-2.1264422,1.8857327
-4.837366,5.44987
-3.6118355,4.1048236
-3.627382,4.1398897
3.2841005,-3.2622097
3.6161642,-3.9102864
-3.8541946,4.5084467
-3.6525247,4.2003913
3.6220124,-3.9379373
2.654466,-1.9132258
-4.8382525,5.4493866
3.6332445,-3.9892888
3.5735888,-3.7779725
3.4405482,-3.5191112
3.6392844,-4.045739
3.643407,-4.126831
3.1764393,-3.0905364
3.6428294,-4.110774
2.850074,-2.5360641
-4.818072,5.431045
-4.832766,5.446132
3.4349072,-3.509431
-2.3220782,1.9950824
3.6389549,-4.0410795
-1.5566765,1.2078738
3.5689638,-3.7621188
-4.839255,5.4501925
-1.6903266,1.2865278
-3.3415642,3.336495
2.6045744,-1.7491208
3.4575129,-3.5468528
3.6247098,-3.945436
-4.838353,5.44969
3.589179,-3.8190742
2.744093,-2.2470076
-4.820884,5.4335093
-4.8374677,5.449401
2.6379473,-1.8617997
2.1093686,-0.9051193
3.4966786,-3.6156344
-4.8392267,5.4503026
3.6000607,-3.8477297
-3.3417094,3.3513105
3.1166167,-2.992321
-4.7987485,5.4094286
3.225515,-3.166683
-3.2474184,3.1474977
2.8020234,-2.4171448
3.584467,-3.8043694
2.060359,-0.44047916
-3.6239207,4.131324
-2.4441993,2.0777068
-3.8038583,4.445628
3.6167095,-3.9030724
-1.7719686,1.5278641
-3.6904457,4.277341
-3.5222726,3.8305507
-2.1702087,1.8857816
2.6870368,-2.0391114
3.6305635,-4.32586
-2.9729397,2.6406693
3.6363304,-4.014353
-3.0553248,2.7855725
2.9347095,-2.7018216
-3.215679,3.0925705
3.6332793,-4.3081055
2.0195935,-0.5147093
3.1143894,-2.990275
3.6271093,-3.9531834
3.6271093,-3.9531834
-2.944962,2.6100538
2.9823,-2.7814946
-3.2840009,3.252413
3.6443152,-4.1415377
-4.821456,5.434274
-4.821456,5.434274
-4.821456,5.434274
-4.821456,5.434274
3.3046951,-3.29451
2.643515,-1.8780333
3.6368775,-4.2750087
3.6368775,-4.2750087
-3.5255377,3.8235059
2.858231,-2.5577078
3.1331944,-3.0215888
-4.8346405,5.447066
-4.831024,5.44401
-4.831024,5.44401
-3.6037352,4.0840034
3.63927,-4.241075
3.081791,-2.9407659
-1.7132403,1.4583884
-4.8291864,5.4421086
-4.8291864,5.4421086
-3.3958275,3.5146
-2.9564216,2.6229558
2.4759047,-1.4666921
2.7332544,-2.205805
-1.836582,1.6289948
2.735246,-2.2196422
2.7777598,-2.3618178
-4.8379354,5.4495096
-4.8379354,5.4495096
3.6414795,-4.0844145
3.6396286,-4.240117
3.6411319,-4.2233853
-4.71379,5.329216
3.5543895,-3.732705
3.6331508,-3.995163
2.9233966,-2.6785166
2.677746,-2.0115635
2.44076,-1.4029113
2.9299853,-2.6922145
-3.9390082,4.6042047
3.6430333,-4.118078
3.2585313,-3.2208488
-2.446331,2.079122
2.474766,-1.4612669
3.6265714,-3.9538517
2.7698243,-2.3288321
3.2666533,-3.233904
-2.2998824,1.9813195
2.0512977,-0.8648445
3.5848815,-3.8086514
2.7072835,-2.1150713
3.1128693,-2.9882047
-1.7722753,1.5048097
3.0016568,-2.8143806
3.1425998,-3.0379949
3.087398,-2.9568057
-4.8352475,5.4471164
1.4037781,0.4340265
-1.6518298,1.3497304
3.5643923,-3.7551064
3.01316,-2.8321667
3.6060786,-4.484914
2.7569058,-2.2919946
-3.3133855,3.255156
-4.2268014,4.8931932
-2.1689253,1.8992349
-3.1715853,3.0070665
-2.9049337,2.5283568
3.6421766,-4.185434
3.6378174,-4.262646
3.5553267,-3.7300632
-3.223676,3.0848904
-3.223676,3.0848904
-3.223676,3.0848904
3.6400986,-4.0532036
-3.5606327,3.9750948
-3.5986388,4.070188
3.48337,-3.5915666
-4.838047,5.4503374
3.601876,-3.8547437
1.7242001,-0.19122432
3.4874563,-3.5995474
-1.7434177,1.4471744
-2.9561489,2.6293936
2.5915437,-1.7100945
3.5500593,-3.7197936
-1.7575015,1.1973757
3.4064178,-3.4626915
3.642436,-4.088861
3.0987625,-2.9689922
-4.8353157,5.4470797
3.581034,-3.7911453
2.173811,-0.98550934
3.5590458,-3.7393568
3.619252,-3.9139113
3.6348493,-4.00836
-4.0119534,4.684215
3.4707,-3.5713027
2.249972,-0.831822
-1.014912,1.4142622
-2.6170306,2.222083
3.587813,-3.8140893
2.8851688,-2.6111186
-3.7542877,4.3774915
-1.6491076,1.4055322
-2.0758471,1.8448137
-4.839449,5.4507766
-3.604346,4.0891576
-3.604346,4.0891576
-4.8388047,5.449544
3.2063344,-3.1350584
-3.568017,3.9864082
3.562,-3.7504532
2.6311195,-1.8330834
3.0503561,-2.8923316
-3.7621796,4.390226
3.0739155,-2.92832
-3.6295917,4.151764
-3.730267,4.341306
3.6292293,-3.9652216
3.6361818,-4.0096016
3.6444721,-4.131725
-3.3735127,3.42833
-1.6371689,1.197735
-3.8790715,4.536495
3.30825,-3.3030632
3.6418188,-4.0716157
-3.5754836,3.999062
-1.8529137,1.6320401
3.6090794,-3.8782544
3.1622117,-3.067744
-2.477354,2.1103654
3.3616798,-3.3847744
-3.4684548,3.649368
-2.6494443,2.2470126
3.1829271,-3.0980275
3.6119626,-3.8899233
-3.2133985,3.0606315
3.5452774,-3.711286
-2.538475,2.1539545
3.3777058,-3.4166813
3.5146348,-3.6505318
-2.6703832,2.2801561
-2.2415087,1.9450556
2.9153287,-2.6676483
2.9403238,-2.7185113
3.5282986,-3.676956
3.6426733,-4.1377206
-3.345278,3.3425033
-3.0410352,2.7478082
-1.884234,1.6978177
-3.5580492,3.9510164
3.6430779,-4.105418
3.499243,-3.6225493
-1.9079287,1.7210306
2.682021,-2.0258582
-4.83883,5.4497943
2.8403656,-2.5133977
-4.0858755,4.760144
3.6404684,-4.221857
-3.8302228,4.4794064
-3.0594425,2.775631
3.098165,-2.9658642
-2.8134284,2.410232
-3.4667854,3.678204
-4.8386526,5.4502
2.5047016,-1.5069941
3.5370066,-3.696659
3.287605,-3.266733
3.094755,-2.9633117
3.6352527,-3.9989028
3.5651171,-3.7559366
3.6417944,-4.1888227
3.6417944,-4.1888227
3.1190171,-3.000989
-2.5722241,2.1907253
-3.5821729,4.0299153
3.6412735,-4.082171
2.9987378,-2.8117707
3.1809196,-3.0935483
-2.536829,2.1492512
3.5015762,-3.6251025
3.4994855,-3.6196465
2.8085046,-2.439197
-2.8337533,2.4464438
3.6394117,-4.0590334
3.496708,-3.617435
2.6607554,-1.9516602
2.5965414,-1.7275554
3.5960996,-3.8427691
-3.4699433,3.6499567
-2.643288,2.235511
2.6314037,-1.8335141
2.8172994,-2.4591568
2.7878041,-2.3870559
3.459038,-3.552081
-2.7278852,2.3203151
3.391601,-3.4414573
3.1827755,-3.0991292
2.8877745,-2.6098452
-1.858641,1.6669238
-1.6879722,1.4321527
3.46175,-3.5613618
-3.9046865,4.5667458
3.6191561,-3.9223366
3.6400917,-4.0707645
3.4216027,-3.4899454
3.416796,-3.4812117
3.416796,-3.4812117
3.6390245,-4.041926
2.7767665,-2.3497994
3.6416798,-4.0977926
3.5313187,-3.6846497
2.4785008,-1.4788591
-3.6649995,4.227058
3.3885002,-3.4329221
2.5484293,-1.5976945
-3.647146,4.1947093
2.2273102,-1.0274154
-3.645683,4.1850934
3.4899466,-3.6036344
3.6362839,-4.298743
-2.0023334,1.7997597
-4.8393373,5.4499207
-4.715442,5.3317027
-3.883081,4.5429463
3.636951,-4.0238686
3.5445151,-3.710644
-4.724639,5.3374724
-2.6328998,2.2489974
-3.3586624,3.3986325
-3.535465,3.864768
-4.6034865,5.2386556
-1.6178114,1.2229917
-4.8387413,5.4503307
-3.2049778,3.0382226
2.724217,-2.1852396
3.4916093,-3.6055489
-2.5979848,2.1910508
-4.8383136,5.4501233
3.5072017,-3.636113
-3.3654242,3.4305787
-3.7608755,4.3884826
-2.8345606,2.4477193
3.60394,-3.862761
2.5679626,-1.6518004
-1.9215959,1.7404023
3.4129853,-3.4757934
3.4739726,-3.5778418
2.883959,-2.603634
3.5926273,-3.8261576
3.6404467,-4.187853
3.6413414,-4.0885434
2.5742145,-1.6623689
-2.8333116,2.4516945
3.6430802,-4.117294
3.5221682,-3.667664
3.6163065,-3.9086664
-2.2638834,1.9607016
3.451839,-3.5371952
-4.8376346,5.4494424
-4.825434,5.439127
3.4499137,-3.5363119
-3.8046672,4.44768
2.670111,-1.9732639
-3.5400426,3.8868134
2.231119,-1.1026436
1.7496802,0.071024925
-4.8089476,5.4213705
-4.838846,5.449796
-3.532224,3.8457923
3.6117208,-3.8908515
2.6292226,-1.8207458
-2.8498673,2.4668489
3.6431031,-4.183367
-4.8220954,5.433796
-2.8692756,2.4855306
-4.838112,5.450427
-2.9641702,2.6190188
3.5759864,-3.7826526
-3.9198263,4.584563
2.435194,-1.392345
2.2830534,-1.1497983
3.1836288,-3.105123
-3.560527,3.9485838
3.0296342,-2.8599272
2.7545748,-2.2892265
-4.8365555,5.448841
-3.389726,3.4381268
3.6013985,-4.529019
-3.654965,4.205257
3.6358457,-4.2895794
-1.9430609,1.7340395
-4.7516637,5.361554
-4.839292,5.450621
-2.4777741,2.10389
-3.5913346,4.06924
3.2636511,-3.2258744
-4.837561,5.448986
-3.5988867,4.07925
-1.584819,1.2435771
-1.9633175,1.7698382
-1.7243111,1.4606603
2.5423923,-1.5668613
3.6398194,-4.0782056
-2.5564435,2.1754956
-4.8361163,5.448017
-3.8215976,4.46651
3.64283,-4.094473
2.7984886,-2.4171495
2.5489495,-1.6196722
-4.786851,5.3977313
-4.786851,5.3977313
-4.821708,5.43512
-4.7612057,5.3692718
2.945965,-2.722299
3.5393772,-3.698275
-3.0692456,2.7920077
3.595329,-3.8343549
-3.6689315,4.2350106
3.46356,-3.5562196
2.9429934,-2.7169952
2.8111172,-2.4488537
3.4767718,-3.584429
-4.830067,5.4430304
-3.3305163,3.3578465
2.7331889,-2.219179
-3.3221674,3.2990441
2.5969772,-1.7295035
-3.401167,3.5059927
2.7348096,-2.2207754
-3.0382724,2.741884
1.9161345,-0.6922952
3.59048,-3.8220878
-3.521116,3.8098803
-2.418503,2.0615878
-4.8294888,5.4423485
-4.8386116,5.4503074
3.6025803,-3.8563612
-3.747162,4.3669105
2.8479908,-2.5289965
3.6399047,-4.2261515
-4.838619,5.4493704
-2.8296745,2.4356983
2.7549982,-2.2845511
2.7549982,-2.2845511
-3.4485862,3.6186202
-3.7583938,4.385437
